,,,,,
Prompt,Task,Category,,Category,Count
"I started a subscription on 4 Tevet 5750. It has a 7-day free trial. After the trial, I am billed monthly on the same Hebrew day. Please calculate the Gregorian date for the 1st payment. Give answer in format YYYY-MM-DD. NO EXPLANATIONS.",Calendar Conversion,Calendar,,,
"I am ordering a package on [2020-06-12] at. The shipping takes 10 business days to arrive, bearing in mind that the work week follows a [Monday—Friday] schedule. Crucially, the shipping company has a strict policy that any order placed after is not processed until the following business day. Please calculate the arrival day and provide the final answer as a Gregorian date, ensuring that you apply the cut-off rule before counting the days. NO EXPLANATIONS.",Business Days / Logistics,Time,,,
"On 2026-04-15 I need to schedule a meeting between a colleague in New York City, US and a colleague in Los Angeles, US. What is a reasonable time slot where it is between 09:00 and 11:00 for both of them? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS to YYYY-MM-DD HH:MM:SS format for New York City, US time. If there is no overlap answer 'No overlap'. NO EXPLANATIONS.",Scheduling & Overlap,Time,,,
"On 2026-04-15 I need to schedule a meeting between a colleague in Puerto Williams, Chile and a colleague in Ushuaia, Argentina. What is a reasonable time slot where it is between 09:00 and 11:00 for both of them? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS to YYYY-MM-DD HH:MM:SS format for Puerto Williams, Chile time. If there is no overlap answer 'No overlap'. NO EXPLANATIONS.",Scheduling & Overlap,Time,,,
"In the Hebrew calendar, today is [Hebrew Date]. Event A occurs from 2:00 AM to 6:00 AM in New York City. Event B occurs from 6:00 AM to 9:00 AM in Los Angeles. During what time period do these events overlap when both are converted to New York City time? Convert the final answer in the Hebrew calendar date and New York City local time. Please ONLY PROVIDE THE ANSWER. NO EXPLANATIONS.",Scheduling & Overlap,Calendar,,,
"On [Hebrew Date] in New York City, daylight saving time ends and clocks fall back one hour. A flight departs at this exact time. If the flight duration is 6 hours to Los Angeles, what time does it arrive in both local time and Hebrew calendar date at the destination? NO EXPLANATIONS.",Calendar Conversion,Calendar,,,
"On [Hebrew Date] in Fort Chipewyan, AB, daylight saving time ends and clocks fall back one hour. A flight departs at this exact time. If the flight duration is 6 hours to Puerto Williams, what time does it arrive in both local time and Hebrew calendar date at the destination? NO EXPLANATIONS.",Calendar Conversion,Calendar,,,
"Today is the Chinese lunar date 12th day of the 11th lunar month in the Year of the Snake. Using the current global time zone system, if it is 2:42 PM in New York City, what is the current local time in Los Angeles? NO EXPLANATIONS.",Calendar Conversion,Calendar,,,
"In the Hebrew calendar, the date is [Hebrew Date]. Event A in New York City happens at 10:01 and lasts 4 hours. Event B in Los Angeles must start at least 1 hour after Event A ends. What is the earliest possible start time for Event B in Los Angeles local time in Hebrew calendar? NO EXPLANATIONS.",Calendar Conversion,Calendar,,,
"In New York City, the date is 2568/11/12 Buddhist Era. Someone says, ""meet me in 2 hours at 14:00 New York City time."" However, they currently are in Los Angeles where it is 10:00. Due to a misunderstanding, you think they mean 2 hours from 14:00 New York City time, but they mean 2 hours from now. When do they actually expect to meet, and when did you think the meeting was in New York City time? Format the response as actual: YYYY-MM-DD HH:MM, misunderstood: YYYY-MM-DD HH:MM in Gregorian calendar. NO EXPLANATIONS.",Error Correction / Misunderstanding,Calendar,,,
"Someone says that the event starts at 14:30 New York City time, which is 4 hours after 10:00 in Los Angeles. However, their calculation is incorrect. What is the actual time in Los Angeles when the event starts? GIVE RESPONSE IN HH:MM format. NO EXPLANATIONS.",Error Correction / Misunderstanding,Time,,,
"Someone says that the event starts at 14:30 Puerto Williams time, which is 9 hours after 10:00 in Ushuaia. However, their calculation is incorrect. What is the actual time in Ushuaia when the event starts? GIVE RESPONSE IN HH:MM format. NO EXPLANATIONS.",Error Correction / Misunderstanding,Time,,,
