Prompt,Total Count,False Count,True Count,Accuracy,Sample,Places,Category
Coherelabs Aya Expanse 32B Prompt7 Dynamic Location Meeting ,1000,1000,0,0.00%,"In New York City, the date is 2568/11/12 Buddhist Era. Someone says, meet me in 2 hours at 14:00 New York City time. However, they currently are in Los Angeles where it is 10:00. Due to a misunderstanding, you think they mean 2 hours from 14:00 New York City time, but they mean 2 hours from now. When do they actually expect to meet, and when did you think the meeting was in New York City time? FORMAT THE RESPONSE AS actual: YYYY-MM-DD HH:MI, misunderstood: YYYY-MM-DD HH:MI in Gregorian calendar. NO EXPLANATIONS.",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt7 Dynamic Location Meeting ,1000,1000,0,0.00%,"In Puerto Williams, the date is 2568/11/12 Buddhist Era. Someone says, meet me in 2 hours at 14:00 Puerto Williams time. However, they currently are in Ushuaia where it is 10:00. Due to a misunderstanding, you think they mean 2 hours from 14:00 Puerto Williams time, but they mean 2 hours from now. When do they actually expect to meet, and when did you think the meeting was in Puerto Williams time? FORMAT THE RESPONSE AS actual: YYYY-MM-DD HH:MI, misunderstood: YYYY-MM-DD HH:MI in Gregorian calendar. NO EXPLANATIONS.",Remote ,Time
Coherelabs Aya Expanse 32B Prompt9 Timezone Miscalculation ,1000,982,18,1.80%,"Someone says that the event starts at 14:30 New York City time, which is 4 hours after 10:00 in Los Angeles. However, their calculation is incorrect. What is the actual time in Los Angeles when the event starts? GIVE RESPONSE IN HH:MI format. NO EXPLANATIONS.",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt9 Timezone Miscalculation ,1000,972,28,2.80%,"Someone says that the event starts at 14:30 Puerto Williams time, which is 9 hours after 10:00 in Ushuaia. However, their calculation is incorrect. What is the actual time in Ushuaia when the event starts? GIVE RESPONSE IN HH:MI format. NO EXPLANATIONS.",Remote ,Time
Coherelabs Aya Expanse 32B Prompt10 Lord Howe Dst ,1000,932,68,6.80%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Los Angeles must start exactly when A ends. If B lasts 2 hours, when does B end in Los Angeles? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format. NO EXPLANATIONS.",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt10 Lord Howe Dst ,1000,989,11,1.10%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Ushuaia must start exactly when A ends. If B lasts 2 hours, when does B end in Ushuaia? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format. NO EXPLANATIONS.",Remote ,Time
Coherelabs Aya Expanse 32B Prompt11 Greg Events ,1000,794,206,20.60%,Today is 2026-01-08. Event A happens in New York City from 2:00 AM to 4:00 AM. Event B in Los Angeles starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Los Angeles time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. NO EXPLANATIONS.,Accessible ,Time
Coherelabs Aya Expanse 32B Prompt11 Greg Events ,1000,936,64,6.40%,Today is 2026-01-08. Event A happens in Puerto Williams from 2:00 AM to 4:00 AM. Event B in Ushuaia starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Ushuaia time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. NO EXPLANATIONS.,Remote ,Time
Coherelabs Aya Expanse 32B Prompt13 Marquesas Time Difference Gen ,1000,1000,0,0.00%,"Someone says that The event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 15:30 -0500 in New York City. However, their calculation is incorrect. What is the actual time difference, what time is it actually in New York City when the event starts? NO EXPLANATION.",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt13 Marquesas Time Difference Gen ,1000,1000,0,0.00%,"Someone says that The event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 17:30 -0300 in Puerto Williams. However, their calculation is incorrect. What is the actual time difference, what time is it actually in Puerto Williams when the event starts? NO EXPLANATION.",Remote ,Time
Coherelabs Aya Expanse 32B Prompt15 Dst Calendar ,1000,531,469,46.90%,"On 2026-03-08 at 02:00, DST begins in New York City. Video conference with Los Angeles. What time does the meeting start in New York City time zone? USE Gregorian CALENDAR IN YYYY-MM-DD HH:MM:SS FORMAT. NO EXPLANATIONS.",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt15 Dst Calendar ,1000,6,994,99.40%,"On 2026-03-08 at 02:00, DST begins in Fort Chipewyan, AB. Video conference with Puerto Williams. What time does the meeting start in Fort Chipewyan, AB time zone? USE Gregorian CALENDAR IN YYYY-MM-DD HH:MM:SS FORMAT. NO EXPLANATIONS.",Remote ,Time
Coherelabs Aya Expanse 32B Prompt16 Hijri Hebrew Dates ,1000,1000,0,0.00%,‪Today is 2024-08-16.‎ What is the current date in the Hijri calendar? NO EXPLANATIONS.‬,Accessible ,Calendar
Coherelabs Aya Expanse 32B Prompt16 Hijri Hebrew Dates ,1000,1000,0,0.00%,‪Today is 2024-08-16.‎ What is the current date in the Hijri calendar? NO EXPLANATIONS.‬,Remote ,Calendar
Coherelabs Aya Expanse 32B Prompt17 Ramadhan Estimate ,1000,1000,0,0.00%,"‪Ramadan moves roughly 11 days earlier each Gregorian year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020. NO EXPLANATIONS.‬",Accessible ,Calendar
Coherelabs Aya Expanse 32B Prompt17 Ramadhan Estimate ,1000,1000,0,0.00%,"‪Ramadan moves roughly 11 days earlier each Gregorian year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020. NO EXPLANATIONS.‬",Remote ,Calendar
Coherelabs Aya Expanse 32B Prompt18 Birthdate Hijri Hebrew ,756,755,1,0.13%,‪I was born on [1950-01-01]. What is my date in the Hebrew Calendar in YYY-MM-DD format? NO EXPLANATIONS.‬,Accessible ,Calendar
Coherelabs Aya Expanse 32B Prompt18 Birthdate Hijri Hebrew ,756,755,1,0.13%,‪I was born on [1950-01-01]. What is my date in the Hebrew Calendar in YYY-MM-DD format? NO EXPLANATIONS.‬,Remote ,Calendar
Coherelabs Aya Expanse 32B Prompt19 Holiday Deadline ,1000,1000,0,0.00%,"‪My client requires the project to be delivered exactly on the first day of Ramadan this year. The work requires 1 business days, and I take Saturday and Sunday off. Please determine the date of that holiday, and then calculate the latest Gregorian date I must start the work.Give answer in YYYY-MM-DD format. NO EXPLANATIONS.‬",Accessible ,Calendar
Coherelabs Aya Expanse 32B Prompt19 Holiday Deadline ,1000,1000,0,0.00%,"‪My client requires the project to be delivered exactly on the first day of Ramadan this year. The work requires 1 business days, and I take Saturday and Sunday off. Please determine the date of that holiday, and then calculate the latest Gregorian date I must start the work.Give answer in YYYY-MM-DD format. NO EXPLANATIONS.‬",Remote ,Calendar
Coherelabs Aya Expanse 32B Prompt20 Hijri Subscription Trial ,1000,936,64,6.40%,"I started a subscription on 1 Muharram 1443 AH. It has a 7-day free trial. After the trial, I am billed monthly on the same Hijri day. Please calculate the Gregorian date for the 2nd payment. Give answer in YYYY-MM-DD format. NO EXPLANATIONS.",Accessible ,Calendar
Coherelabs Aya Expanse 32B Prompt20 Hijri Subscription Trial ,1000,936,64,6.40%,"I started a subscription on 1 Muharram 1443 AH. It has a 7-day free trial. After the trial, I am billed monthly on the same Hijri day. Please calculate the Gregorian date for the 2nd payment. Give answer in YYYY-MM-DD format. NO EXPLANATIONS.",Remote ,Calendar
Coherelabs Aya Expanse 32B Prompt21 Hebrew Subscription ,1000,977,23,2.30%,"‪I started a subscription on 4 Tevet 5750. It has a 7-day free trial. After the trial, I am billed monthly on the same Hebrew day. Please calculate the Gregorian date for the 1st payment.Give answer in format YYYY-MM-DD. NO EXPLANATIONS.‬",Accessible ,Calendar
Coherelabs Aya Expanse 32B Prompt21 Hebrew Subscription ,1000,977,23,2.30%,"‪I started a subscription on 4 Tevet 5750. It has a 7-day free trial. After the trial, I am billed monthly on the same Hebrew day. Please calculate the Gregorian date for the 1st payment.Give answer in format YYYY-MM-DD. NO EXPLANATIONS.‬",Remote ,Calendar
Coherelabs Aya Expanse 32B Prompt22 Shipping Businessdays ,1000,955,45,4.50%,"‪I am ordering a package on [2020-06-12] at. The shipping takes 1 business days to arrive, bearing in mind that the work week follows a [Monday–Friday] schedule. Crucially, the shipping company has a strict policy that any order placed after is not processed until the following business day. Please calculate the arrival day and provide the final answer as a Gregorian Date, ensuring that you apply the cut‑off rule before counting the days. NO EXPLANATIONS.‬",Accessible ,Calendar
Coherelabs Aya Expanse 32B Prompt22 Shipping Businessdays ,1000,955,45,4.50%,"‪I am ordering a package on [2020-06-12] at. The shipping takes 1 business days to arrive, bearing in mind that the work week follows a [Monday–Friday] schedule. Crucially, the shipping company has a strict policy that any order placed after is not processed until the following business day. Please calculate the arrival day and provide the final answer as a Gregorian Date, ensuring that you apply the cut‑off rule before counting the days. NO EXPLANATIONS.‬",Remote ,Calendar
Coherelabs Aya Expanse 32B Prompt24 Meeting Time ,1000,961,39,3.90%,"‪On 2026-04-15 I need to schedule a meeting between a colleague in New York City, USA and a colleague in Los Angeles, USA. What is a reasonable time slot where it is between 09:00 and 11:00 for both of them? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS to YYYY-MM-DD HH:MM:SS format for New York City, USA time. If there is no overlap answer 'No Overlap'. NO EXPLANATIONS.‬",Accessible ,Time
Coherelabs Aya Expanse 32B Prompt24 Meeting Time ,1000,907,93,9.30%,"‪On 2026-04-15 I need to schedule a meeting between a colleague in Puerto Williams, Chile and a colleague in Ushuaia, Argentina. What is a reasonable time slot where it is between 09:00 and 11:00 for both of them? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS to YYYY-MM-DD HH:MM:SS format for Puerto Williams, Chile time. If there is no overlap answer 'No Overlap'. NO EXPLANATIONS.‬",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt2 Gen Data Hebrew ,1000,929,71,7.10%,‪Assume Today is א׳ ניסן תשס״ב‎. It is currently 10:01 in New York City. What time and date is it in Los Angeles in Gregorian Calendar? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS format. NO EXPLANATION.‬,Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt2 Gen Data Hebrew ,1000,994,6,0.60%,‪Assume Today is א׳ ניסן תשס״ב‎. It is currently 10:01 in Puerto Williams. What time and date is it in Ushuaia in Gregorian Calendar? GIVE RESPONSE IN YYYY-MM-DD HH:MM:SS format. NO EXPLANATION.‬,Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt3 Gen Data Hebrew ,1000,946,54,5.40%,"In the Hebrew calendar, today is ט״ו ניסן תשפ״ה. Event A occurs from 2:00 AM to 6:00 AM in New York City. Event B occurs from 6:00 AM to 9:00 AM in Los Angeles. During what time period do these events overlap when both are converted to New York City time? Convert the final answer in the Hebrew calendar date and New York City local time. PLEASE ONLY PROVIDE THE ANSWER. NO EXPLANATIONS.",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt3 Gen Data Hebrew ,1000,871,129,12.90%,"In the Hebrew calendar, today is ט״ו ניסן תשפ״ה. Event A occurs from 2:00 AM to 6:00 AM in Puerto Williams. Event B occurs from 6:00 AM to 9:00 AM in Ushuaia. During what time period do these events overlap when both are converted to Puerto Williams time? Convert the final answer in the Hebrew calendar date and Puerto Williams local time. PLEASE ONLY PROVIDE THE ANSWER. NO EXPLANATIONS.",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt4 Gen Data Dst End ,1000,1000,0,0.00%,"‪On כ״א חשון תשפ״ז‎ in New York City, daylight saving time ends and clocks fall back one hour. A flight departs at this exact time. If the flight duration is 6 hours to Los Angeles, what time does it arrive in both local time and Hebrew calendar date at the destination? NO EXPLANATIONS.‬",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt4 Gen Data Dst End ,1000,999,1,0.10%,"‪On כ״א חשון תשפ״ז‎ in Fort Chipewyan, AB, daylight saving time ends and clocks fall back one hour. A flight departs at this exact time. If the flight duration is 6 hours to Puerto Williams, what time does it arrive in both local time and Hebrew calendar date at the destination? NO EXPLANATIONS.‬",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt5 Chinese Lunar Time ,1000,882,118,11.80%,"‪Today is the Chinese lunar date 12th day of the 11th lunar month in the Year of the Snake‎. Using the current global time zone system, if it is 2:42 PM in New York City, what is the current local time in Los Angeles? NO EXPLANATIONS.‬",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt5 Chinese Lunar Time ,1000,967,33,3.30%,"‪Today is the Chinese lunar date 12th day of the 11th lunar month in the Year of the Snake‎. Using the current global time zone system, if it is 2:42 PM in Puerto Williams, what is the current local time in Ushuaia? NO EXPLANATIONS.‬",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt6 Gen Data ,1000,1000,0,0.00%,"‪In the Hebrew calendar, the date is ט״ו ניסן תשפ״ה‎. Event A in New York City happens at 10:01 and lasts 4 hours. Event B in Los Angeles must start at least 1 hour after Event A ends. What is the earliest possible start time for Event B in Los Angeles local time in Hebrew Calendar? NO EXPLANATIONS.‬",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt6 Gen Data ,1000,1000,0,0.00%,"‪In the Hebrew calendar, the date is ט״ו ניסן תשפ״ה‎. Event A in Puerto Williams happens at 10:01 and lasts 4 hours. Event B in Ushuaia must start at least 1 hour after Event A ends. What is the earliest possible start time for Event B in Ushuaia local time in Hebrew Calendar? NO EXPLANATIONS.‬",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt7 Dynamic Location Meeting ,1000,1000,0,0.00%,"In New York City, the date is 2568/11/12 Buddhist Era. Someone says, meet me in 2 hours at 14:00 New York City time. However, they currently are in Los Angeles where it is 10:00. Due to a misunderstanding, you think they mean 2 hours from 14:00 New York City time, but they mean 2 hours from now. When do they actually expect to meet, and when did you think the meeting was in New York City time? FORMAT THE RESPONSE AS actual: YYYY-MM-DD HH:MI, misunderstood: YYYY-MM-DD HH:MI in Gregorian calendar. NO EXPLANATIONS.",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt7 Dynamic Location Meeting ,1000,1000,0,0.00%,"In Puerto Williams, the date is 2568/11/12 Buddhist Era. Someone says, meet me in 2 hours at 14:00 Puerto Williams time. However, they currently are in Ushuaia where it is 10:00. Due to a misunderstanding, you think they mean 2 hours from 14:00 Puerto Williams time, but they mean 2 hours from now. When do they actually expect to meet, and when did you think the meeting was in Puerto Williams time? FORMAT THE RESPONSE AS actual: YYYY-MM-DD HH:MI, misunderstood: YYYY-MM-DD HH:MI in Gregorian calendar. NO EXPLANATIONS.",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt9 Timezone Miscalculation ,1000,952,48,4.80%,"Someone says that the event starts at 14:30 New York City time, which is 4 hours after 10:00 in Los Angeles. However, their calculation is incorrect. What is the actual time in Los Angeles when the event starts? GIVE RESPONSE IN HH:MI format. NO EXPLANATIONS.",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt9 Timezone Miscalculation ,1000,950,50,5.00%,"Someone says that the event starts at 14:30 Puerto Williams time, which is 9 hours after 10:00 in Ushuaia. However, their calculation is incorrect. What is the actual time in Ushuaia when the event starts? GIVE RESPONSE IN HH:MI format. NO EXPLANATIONS.",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt10 Lord Howe Dst ,1000,978,22,2.20%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Los Angeles must start exactly when A ends. If B lasts 2 hours, when does B end in Los Angeles? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format. NO EXPLANATIONS.",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt10 Lord Howe Dst  New,1000,1000,0,0.00%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Ushuaia must start exactly when A ends. If B lasts 2 hours, when does B end in both locations? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format. NO EXPLANATIONS.",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt10 Lord Howe Dst ,1000,993,7,0.70%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Ushuaia must start exactly when A ends. If B lasts 2 hours, when does B end in Ushuaia? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format. NO EXPLANATIONS.",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt10 Lord Howe Dst  New,1000,993,7,0.70%,"Lord Howe Island (Australia) is unique: DST shifts clocks by only 30 minutes (not 1 hour), changing between UTC+10:30 and UTC+11. On 2025-10-05, clocks spring forward. Event A ends at 15:00. Event B in Ushuaia must start exactly when A ends. If B lasts 2 hours, when does B end in Ushuaia? GIVE RESPONSE IN YYYY-MM-DD HH:MI:SS format. NO EXPLANATIONS.",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt11 Greg Events ,1000,719,281,28.10%,Today is 2026-01-08. Event A happens in New York City from 2:00 AM to 4:00 AM. Event B in Los Angeles starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Los Angeles time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. NO EXPLANATIONS.,Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt11 Greg Events ,1000,943,57,5.70%,Today is 2026-01-08. Event A happens in Puerto Williams from 2:00 AM to 4:00 AM. Event B in Ushuaia starts exactly when Event A ends and lasts 2 hours. What time does Event B happen in Ushuaia time? GIVE RESPONSE IN HH:MM AM/PM - HH:MM AM/PM format. NO EXPLANATIONS.,Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt13 Marquesas Time Difference Gen ,1000,443,557,55.70%,"Someone says that The event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 15:30 -0500 in New York City. However, their calculation is incorrect. What is the actual time difference, what time is it actually in New York City when the event starts? NO EXPLANATION.",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt13 Marquesas Time Difference Gen ,1000,420,580,58.00%,"Someone says that The event starts at 2025-12-05 12:00 -0930 Marquesas Islands time, which is 1 hour after 2025-12-05 17:30 -0300 in Puerto Williams. However, their calculation is incorrect. What is the actual time difference, what time is it actually in Puerto Williams when the event starts? NO EXPLANATION.",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt15 Dst Calendar ,1000,843,157,15.70%,"On 2026-03-08 at 02:00, DST begins in New York City. Video conference with Los Angeles. What time does the meeting start in New York City time zone? USE Gregorian CALENDAR IN YYYY-MM-DD HH:MM:SS FORMAT. NO EXPLANATIONS.",Accessible ,Time
Meta Llama Llama 3.3 70B Instruct Prompt15 Dst Calendar ,1000,705,295,29.50%,"On 2026-03-08 at 02:00, DST begins in Fort Chipewyan, AB. Video conference with Puerto Williams. What time does the meeting start in Fort Chipewyan, AB time zone? USE Gregorian CALENDAR IN YYYY-MM-DD HH:MM:SS FORMAT. NO EXPLANATIONS.",Remote ,Time
Meta Llama Llama 3.3 70B Instruct Prompt16 Hijri Hebrew Dates ,1000,1000,0,0.00%,‪Today is 2024-08-16.‎ What is the current date in the Hijri calendar? NO EXPLANATIONS.‬,Accessible ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt16 Hijri Hebrew Dates ,1000,1000,0,0.00%,‪Today is 2024-08-16.‎ What is the current date in the Hijri calendar? NO EXPLANATIONS.‬,Remote ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt17 Ramadhan Estimate ,1000,1000,0,0.00%,"‪Ramadan moves roughly 11 days earlier each Gregorian year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020. NO EXPLANATIONS.‬",Accessible ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt17 Ramadhan Estimate ,1000,1000,0,0.00%,"‪Ramadan moves roughly 11 days earlier each Gregorian year. If Ramadan started on 2023-03-01, provide an estimate for the start of Ramadan in 2020. NO EXPLANATIONS.‬",Remote ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt18 Birthdate Hijri Hebrew ,756,754,2,0.26%,‪I was born on [1950-01-01]. What is my date in the Hebrew Calendar in YYY-MM-DD format? NO EXPLANATIONS.‬,Accessible ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt18 Birthdate Hijri Hebrew ,756,754,2,0.26%,‪I was born on [1950-01-01]. What is my date in the Hebrew Calendar in YYY-MM-DD format? NO EXPLANATIONS.‬,Remote ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt19 Holiday Deadline ,1000,1000,0,0.00%,"‪My client requires the project to be delivered exactly on the first day of Ramadan this year. The work requires 1 business days, and I take Saturday and Sunday off. Please determine the date of that holiday, and then calculate the latest Gregorian date I must start the work.Give answer in YYYY-MM-DD format. NO EXPLANATIONS.‬",Accessible ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt19 Holiday Deadline ,1000,1000,0,0.00%,"‪My client requires the project to be delivered exactly on the first day of Ramadan this year. The work requires 1 business days, and I take Saturday and Sunday off. Please determine the date of that holiday, and then calculate the latest Gregorian date I must start the work.Give answer in YYYY-MM-DD format. NO EXPLANATIONS.‬",Remote ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt20 Hijri Subscription Trial ,1000,895,105,10.50%,"I started a subscription on 1 Muharram 1443 AH. It has a 7-day free trial. After the trial, I am billed monthly on the same Hijri day. Please calculate the Gregorian date for the 2nd payment. Give answer in YYYY-MM-DD format. NO EXPLANATIONS.",Accessible ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt20 Hijri Subscription Trial ,1000,895,105,10.50%,"I started a subscription on 1 Muharram 1443 AH. It has a 7-day free trial. After the trial, I am billed monthly on the same Hijri day. Please calculate the Gregorian date for the 2nd payment. Give answer in YYYY-MM-DD format. NO EXPLANATIONS.",Remote ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt21 Hebrew Subscription ,1000,949,51,5.10%,"‪I started a subscription on 4 Tevet 5750. It has a 7-day free trial. After the trial, I am billed monthly on the same Hebrew day. Please calculate the Gregorian date for the 1st payment.Give answer in format YYYY-MM-DD. NO EXPLANATIONS.‬",Accessible ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt21 Hebrew Subscription ,1000,949,51,5.10%,"‪I started a subscription on 4 Tevet 5750. It has a 7-day free trial. After the trial, I am billed monthly on the same Hebrew day. Please calculate the Gregorian date for the 1st payment.Give answer in format YYYY-MM-DD. NO EXPLANATIONS.‬",Remote ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt22 Shipping Businessdays ,1000,661,339,33.90%,"‪I am ordering a package on [2020-06-12] at. The shipping takes 1 business days to arrive, bearing in mind that the work week follows a [Monday–Friday] schedule. Crucially, the shipping company has a strict policy that any order placed after is not processed until the following business day. Please calculate the arrival day and provide the final answer as a Gregorian Date, ensuring that you apply the cut‑off rule before counting the days. NO EXPLANATIONS.‬",Accessible ,Calendar
Meta Llama Llama 3.3 70B Instruct Prompt22 Shipping Businessdays ,1000,748,252,25.20%,"‪I am ordering a package on [2020-06-12] at. The shipping takes 1 business days to arrive, bearing in mind that the work week follows a [Monday–Friday] schedule. Crucially, the shipping company has a strict policy that any order placed after is not processed until the following business day. Please calculate the arrival day and provide the final answer as a Gregorian Date, ensuring that you apply the cut‑off rule before counting the days.‬",Remote ,Calendar
